Provincia;Municipio;;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;;;
ALICANTE;ALICANTE/ALACANT;;ALICANTE/ALACANT;03001;MUELLE 8, ZONA DE LEVANTE, S/N;-0,481472;38,339167;1,579;;1,479;;;;;;;;;;;;MARINA ALICANTE;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-21:00;;;
ALICANTE;ALTEA;;ALTEA;03590;PUERTO DEPORTIVO LUIS CAMPOMANES, S/N - PARTIDA MASCARAT;-0,003833;38,629556;1,680;;1,630;;;;;;;;;;;;;Suministro a barcos deportivos o de recreo;dm;M-D: 10:00-18:00;;;
ALICANTE;CALPE/CALP;;CALPE;03710;EXPLANADA DEL PUERTO PESQUERO S/N;0,069162;38,637313;;;;802,200;;;;;;;;;;;COFRADIA DE PESCADORES DE CALPE;Mixto;dm;L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00;;;
ALICANTE;DÉNIA;;DENIA;03700;DARSENA DE BABOR S/N PUERTO DE DENIA;0,119139;38,567556;1,699;;1,569;;;;;;;;;;;;MARINA DE DENIA S.A;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
ALICANTE;DÉNIA;;DENIA;03700;PUERTO PESQUERO DE DENIA S/N;0,113056;38,843611;;;;;620,000;;;;;;;;;;NO HAY;Suministro a pesqueros;dm;L-V: 08:00-13:00 y 16:30-19:30;;;
ALICANTE;GUARDAMAR DEL SEGURA;;GUARDAMAR DEL SEGURA;03140;AVDA. DEL PUERTO.219;-0,646278;38,109000;1,608;;1,513;;727,000;;;;;;;;;;MARINA DE LAS DUNAS (REPSOL);Mixto;dm;L-D: 07:00-22:00;;;
ALICANTE;JÁVEA/XÀBIA;;JÁVEA/XÀBIA;03730;BURDEOS, 1;0,186222;38,775722;1,852;;;;;;;;;;;;;;NOU FONTANA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
ALICANTE;ORIHUELA;;DEHESA DE CAMPOAMOR;03192;CALDERON DE LA BARCA, 2;-0,730583;37,910528;1,650;;1,550;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-14:00 y 16:00-21:00;;;
ALICANTE;SANTA POLA;;SANTA POLA;03130;MUELLE NORTE S/N PUERTO DEPORTIVO 2;-0,560556;38,189306;1,499;;1,399;;;;;;;;;;;;MARINA MIRAMAR;Mixto;dm;L-D: 24H;;;
ALICANTE;SANTA POLA;;SANTA POLA;03130;ZONA PORTUARIA, 35;-0,558583;38,187389;1,409;;1,329;;660,000;;;;;;;;;;COFRADÍA DE PESCADORES;Mixto;dm;L-V: 09:00-13:00 y 16:00-20:00;;;
